✅ Exportado: 20 registros

nombre_archivo,formato,tamanio_mb,fecha_creacion,ubicacion_origen,categoria,palabras_clave,dependencia,anio,tipo_evento,estado_consentimiento,alerta_diseñador,tipo_consentimiento_legible
foto_016.jpg,jpg,2.8,2024-10-05,SharePoint/Comunicaciones/Eventos,evento,"rendición cuentas, ciudadanos, auditorio",Despacho del Alcalde,2024,evento_masivo,colectivo_verificado,✅ Aprobado para uso institucional,Aviso público grabado
foto_005.mp4,mp4,45.6,2024-05-10,OneDrive/Comunicaciones/Videos,campaña,"campaña salud, vacunación, familia",Secretaría de Salud,2024,evento_masivo,colectivo_verificado,✅ Aprobado para uso institucional,Aviso público grabado
foto_017.jpg,jpg,1.3,2024-11-11,SharePoint/Comunicaciones/Social,evento,"adulto mayor, programa social, bienestar",Secretaría de Bienestar Social,2024,sesion_controlada,individual_verificado,✅ Aprobado para uso institucional,Formulario individual firmado
foto_019.jpg,jpg,1.1,2024-12-20,SharePoint/Comunicaciones/Navidad,evento,"navidad, alumbrado, comunidad festiva",Dirección de Comunicaciones,2024,evento_masivo,colectivo_verificado,✅ Aprobado para uso institucional,Aviso público grabado
foto_011.jpg,jpg,1.5,2024-08-22,SharePoint/Comunicaciones/Seguridad,evento,"consejo seguridad, policía, comunidad",Secretaría del Interior,2024,sesion_controlada,individual_verificado,✅ Aprobado para uso institucional,Formulario individual firmado
foto_001.jpg,jpg,2.4,2024-03-15,SharePoint/Comunicaciones/Eventos,evento,"grado bachilleres, educación, comunidad",Secretaría de Educación,2024,sesion_controlada,individual_verificado,✅ Aprobado para uso institucional,Formulario individual firmado
foto_010.jpg,jpg,2.1,2024-07-18,SharePoint/Comunicaciones/Ambiente,lugar,"río Medellín, limpieza, voluntarios",Secretaría de Medio Ambiente,2024,evento_masivo,colectivo_verificado,✅ Aprobado para uso institucional,Aviso público grabado
foto_018.jpg,jpg,2.6,2024-11-11,SharePoint/Comunicaciones/Social,persona,"beneficiarios, subsidio, familia",Secretaría de Bienestar Social,2024,sesion_controlada,individual_verificado,✅ Aprobado para uso institucional,Formulario individual firmado
foto_004.jpg,jpg,2.2,2024-04-20,SharePoint/Comunicaciones/Obras,evento,"inauguración, vía, comunidad barrio",Secretaría de Infraestructura,2024,evento_masivo,colectivo_verificado,✅ Aprobado para uso institucional,Aviso público grabado
foto_006.jpg,jpg,1.9,2024-05-10,SharePoint/Comunicaciones/Salud,evento,"jornada médica, salud preventiva, adulto mayor",Secretaría de Salud,2024,sesion_controlada,individual_verificado,✅ Aprobado para uso institucional,Formulario individual firmado
foto_007.jpg,jpg,2.7,2024-06-05,SharePoint/Comunicaciones/Cultura,evento,"festival, cultura, danza folclórica",Secretaría de Cultura,2024,evento_masivo,colectivo_verificado_con_restriccion,⚠️ REVISAR: Hay personas en este evento que solicitaron no ser fotografiadas,Aviso público con restricciones
foto_012.jpg,jpg,3.4,2024-08-22,SharePoint/Comunicaciones/Seguridad,persona,"secretario, reunión, funcionarios",Secretaría del Interior,2024,evento_masivo,pendiente,⛔ NO PUBLICAR: Consentimiento no verificado,Sin evidencia registrada
foto_015.mp4,mp4,112.5,2024-10-05,OneDrive/Comunicaciones/Videos,campaña,"rendición cuentas, transparencia, gestión",Despacho del Alcalde,2024,evento_masivo,colectivo_verificado,✅ Aprobado para uso institucional,Aviso público grabado
foto_014.jpg,jpg,1.7,2024-09-14,SharePoint/Comunicaciones/Educacion,lugar,"colegio, infraestructura escolar, Bello",Secretaría de Educación,2024,evento_masivo,colectivo_verificado,✅ Aprobado para uso institucional,Aviso público grabado
foto_013.jpg,jpg,2.0,2024-09-14,SharePoint/Comunicaciones/Educacion,evento,"retorno escolar, estudiantes, aulas",Secretaría de Educación,2024,sesion_controlada,individual_verificado,✅ Aprobado para uso institucional,Formulario individual firmado
foto_020.jpg,jpg,2.3,2024-12-20,SharePoint/Comunicaciones/Navidad,campaña,"fin de año, logros, Alcaldía Bello",Dirección de Comunicaciones,2024,evento_masivo,colectivo_verificado,✅ Aprobado para uso institucional,Aviso público grabado
foto_009.mp4,mp4,78.3,2024-07-18,OneDrive/Comunicaciones/Videos,campaña,"medio ambiente, reciclaje, Bello Limpio",Secretaría de Medio Ambiente,2024,evento_masivo,colectivo_verificado,✅ Aprobado para uso institucional,Aviso público grabado
foto_008.jpg,jpg,0.9,2024-06-05,SharePoint/Comunicaciones/Cultura,persona,"artista, presentación, escenario",Secretaría de Cultura,2024,sesion_controlada,individual_verificado,✅ Aprobado para uso institucional,Formulario individual firmado
foto_003.jpg,jpg,3.1,2024-04-20,SharePoint/Comunicaciones/Obras,lugar,"parque, obra pública, infraestructura",Secretaría de Infraestructura,2024,evento_masivo,colectivo_verificado,✅ Aprobado para uso institucional,Aviso público grabado
foto_002.jpg,jpg,1.8,2024-03-15,SharePoint/Comunicaciones/Eventos,persona,"alcalde, rueda de prensa, gestión",Despacho del Alcalde,2024,sesion_controlada,individual_verificado,✅ Aprobado para uso institucional,Formulario individual firmado
